age,income,employment_length,loan_amount,loan_term,credit_score,existing_loans,debt_to_income,marital_status,education,property_area,default
48,93543,8,30879,36,792,0,0.58,Single,Undergraduate,Urban,0
25,103441,5,20996,12,494,4,0.19,Single,Undergraduate,Semiurban,0
50,61786,8,42772,60,311,3,0.11,Married,Postgraduate,Rural,1
25,114934,12,31762,24,494,1,0.83,Married,Undergraduate,Urban,1
32,119804,1,18283,12,789,2,0.32,Married,Postgraduate,Urban,0
36,26737,6,44420,48,481,3,0.76,Single,Graduate,Semiurban,1
46,56062,18,24554,36,615,2,0.9,Single,Graduate,Urban,0
46,74237,8,25219,12,329,3,0.27,Single,Postgraduate,Semiurban,0
41,71571,7,39919,12,895,0,0.31,Single,Postgraduate,Rural,0
59,45510,1,14429,60,395,4,0.63,Single,Postgraduate,Urban,1
56,39426,16,49695,60,680,2,0.87,Married,Postgraduate,Semiurban,1
53,57265,12,44673,60,743,3,0.83,Single,Graduate,Urban,1
50,37850,6,24218,48,597,4,0.5,Married,Undergraduate,Semiurban,0
57,138249,2,17452,60,660,2,0.74,Single,Undergraduate,Semiurban,0
43,86150,14,23951,12,673,1,0.21,Married,Graduate,Semiurban,0
30,107312,4,6307,60,853,3,0.88,Married,Undergraduate,Rural,0
25,109613,1,19852,24,602,1,0.87,Married,Graduate,Urban,0
56,94910,18,30232,60,720,0,0.23,Married,Undergraduate,Rural,0
54,72375,13,40428,48,545,1,0.34,Single,Postgraduate,Semiurban,0
51,141826,2,48171,24,536,1,0.18,Single,Postgraduate,Semiurban,0
30,55435,9,31485,12,833,3,0.32,Single,Postgraduate,Rural,0
39,116443,2,15238,12,484,0,0.75,Married,Graduate,Rural,1
52,77132,9,43975,36,767,1,0.4,Single,Graduate,Urban,0
21,98945,1,6140,24,662,4,0.17,Single,Undergraduate,Semiurban,0
25,102050,11,29842,36,582,2,0.37,Single,Undergraduate,Rural,0
24,149828,3,31421,24,852,1,0.89,Single,Undergraduate,Semiurban,0
36,115402,4,6708,24,635,0,0.6,Married,Graduate,Semiurban,0
44,22983,18,8630,48,461,1,0.43,Married,Undergraduate,Urban,1
36,117241,6,24595,36,459,2,0.23,Single,Postgraduate,Urban,0
22,40662,3,15485,48,773,0,0.89,Single,Undergraduate,Urban,0
48,43510,11,33308,24,621,3,0.76,Single,Postgraduate,Rural,0
52,98187,15,49789,12,311,0,0.33,Married,Graduate,Semiurban,1
47,60998,5,31086,24,723,3,0.16,Married,Postgraduate,Rural,0
40,76846,10,21859,48,372,0,0.15,Married,Postgraduate,Rural,0
44,114071,12,12684,36,887,2,0.2,Single,Postgraduate,Urban,0
32,26640,15,30552,36,500,2,0.56,Married,Graduate,Semiurban,0
55,64547,17,6207,48,821,0,0.84,Married,Graduate,Semiurban,0
53,74620,10,6960,36,804,1,0.5,Married,Graduate,Urban,0
53,35317,6,5557,60,338,2,0.77,Married,Graduate,Semiurban,1
57,135608,18,34689,12,359,3,0.46,Married,Undergraduate,Urban,0
32,27564,13,18893,12,877,3,0.67,Single,Graduate,Rural,1
23,47345,3,37272,12,620,4,0.69,Single,Postgraduate,Rural,0
21,133824,10,5882,36,734,3,0.24,Single,Graduate,Urban,0
53,114223,14,42529,36,707,4,0.39,Single,Undergraduate,Rural,0
30,143372,6,43635,24,685,0,0.61,Married,Undergraduate,Rural,1
49,99273,3,34535,24,868,0,0.16,Single,Undergraduate,Urban,0
33,94859,16,17869,12,377,0,0.39,Single,Postgraduate,Rural,0
32,100765,7,12166,60,493,1,0.53,Single,Graduate,Semiurban,0
51,130017,14,17982,24,584,1,0.9,Married,Graduate,Rural,0
22,94038,9,45697,24,826,4,0.48,Single,Graduate,Urban,0
55,143618,15,43115,36,823,3,0.75,Married,Postgraduate,Semiurban,1
43,72393,3,12269,60,455,3,0.45,Married,Postgraduate,Semiurban,0
37,86081,2,33064,12,639,0,0.74,Married,Undergraduate,Rural,0
46,145341,2,18527,24,424,2,0.58,Single,Undergraduate,Semiurban,0
28,122650,3,7454,60,579,1,0.81,Married,Graduate,Urban,0
49,49430,18,25878,60,427,1,0.43,Single,Postgraduate,Semiurban,0
46,95532,14,17991,12,613,0,0.58,Single,Postgraduate,Rural,0
30,47788,18,7808,60,631,1,0.6,Single,Graduate,Rural,0
46,115505,10,44410,60,449,0,0.43,Married,Graduate,Semiurban,1
54,68543,2,41593,60,753,4,0.22,Married,Undergraduate,Urban,0
27,33919,1,41304,24,335,3,0.17,Single,Undergraduate,Urban,1
24,89346,4,35386,12,719,2,0.11,Married,Undergraduate,Rural,0
31,116122,14,8802,60,321,3,0.8,Married,Graduate,Rural,1
49,59974,1,33753,60,505,3,0.29,Married,Graduate,Urban,0
56,127309,14,26083,24,655,4,0.27,Single,Undergraduate,Semiurban,0
45,36371,16,23354,12,739,1,0.69,Married,Undergraduate,Semiurban,1
41,65084,14,27190,36,395,2,0.36,Married,Postgraduate,Semiurban,0
56,49629,3,11142,24,463,1,0.5,Single,Postgraduate,Semiurban,0
30,71184,3,33398,12,447,3,0.23,Married,Undergraduate,Urban,0
57,81916,9,46862,60,829,0,0.87,Single,Undergraduate,Rural,1
29,147293,6,38132,12,593,3,0.78,Married,Postgraduate,Rural,0
44,93972,13,24503,12,494,1,0.79,Married,Undergraduate,Semiurban,1
55,82187,2,39631,12,779,3,0.43,Married,Postgraduate,Urban,0
55,32984,8,21499,36,422,0,0.71,Married,Postgraduate,Urban,1
56,53039,2,44852,12,699,4,0.22,Married,Postgraduate,Semiurban,0
38,105431,4,13016,36,751,1,0.11,Married,Graduate,Semiurban,0
59,103691,15,7384,60,403,3,0.12,Single,Graduate,Semiurban,0
52,78606,4,20072,36,761,1,0.57,Married,Undergraduate,Rural,0
44,30616,13,41703,60,695,4,0.46,Married,Postgraduate,Semiurban,1
43,122665,12,19482,60,636,3,0.51,Married,Graduate,Rural,0
52,125373,13,45510,36,898,3,0.11,Single,Undergraduate,Urban,0
57,70072,14,26826,24,441,1,0.44,Single,Undergraduate,Urban,0
32,44574,18,7490,48,616,1,0.67,Single,Undergraduate,Rural,0
33,23430,6,30518,12,857,0,0.45,Married,Undergraduate,Rural,0
43,139123,11,29045,48,826,4,0.69,Married,Undergraduate,Rural,0
45,32676,2,31910,12,855,0,0.29,Single,Postgraduate,Rural,0
55,30816,19,29566,12,700,3,0.75,Single,Undergraduate,Semiurban,1
50,52733,19,38905,60,609,1,0.57,Single,Postgraduate,Urban,0
37,105680,5,32103,12,794,3,0.27,Married,Graduate,Semiurban,0
40,22050,19,41188,12,855,3,0.29,Single,Undergraduate,Rural,1
45,129996,2,10845,36,408,2,0.6,Married,Graduate,Semiurban,0
42,53933,10,26162,48,671,2,0.76,Married,Postgraduate,Semiurban,0
33,44951,2,41674,36,505,3,0.43,Married,Postgraduate,Urban,0
39,52413,11,24337,12,342,1,0.31,Single,Graduate,Semiurban,0
56,54801,18,27313,60,544,3,0.79,Married,Undergraduate,Urban,0
32,75619,15,31943,36,586,2,0.64,Single,Undergraduate,Rural,0
39,52913,9,17413,36,654,1,0.46,Single,Graduate,Semiurban,0
32,132573,19,5276,24,775,3,0.49,Single,Graduate,Rural,0
29,139076,9,22611,12,382,4,0.26,Single,Graduate,Urban,0
27,60600,3,44105,60,409,4,0.6,Married,Undergraduate,Rural,1
48,77775,9,16944,36,489,3,0.39,Married,Undergraduate,Rural,0
34,110816,14,20906,36,550,1,0.9,Married,Undergraduate,Urban,0
51,149972,19,25536,60,590,3,0.48,Married,Graduate,Rural,0
39,110093,7,32810,12,500,3,0.49,Single,Undergraduate,Rural,0
36,132590,16,17306,24,625,2,0.55,Single,Postgraduate,Rural,0
25,55400,16,15503,36,810,4,0.83,Single,Graduate,Semiurban,0
55,24494,1,24225,24,708,2,0.74,Single,Undergraduate,Rural,1
32,100688,4,41976,48,807,2,0.46,Married,Graduate,Urban,0
45,142744,4,16590,12,371,3,0.67,Single,Postgraduate,Semiurban,1
41,109431,7,15886,48,546,2,0.57,Married,Postgraduate,Semiurban,0
56,94691,8,17866,48,886,4,0.49,Single,Graduate,Urban,0
43,117419,17,6088,48,865,2,0.25,Single,Graduate,Rural,0
36,128730,5,8363,12,643,4,0.47,Single,Postgraduate,Semiurban,0
59,63001,7,37792,12,353,2,0.3,Single,Graduate,Semiurban,0
59,87364,4,14764,60,827,4,0.83,Married,Postgraduate,Semiurban,0
34,144988,6,25620,24,831,2,0.37,Married,Postgraduate,Rural,0
51,65028,7,47727,24,857,2,0.86,Married,Undergraduate,Semiurban,1
25,127434,18,17935,60,492,1,0.53,Married,Graduate,Urban,0
55,117659,5,13068,60,357,4,0.61,Single,Graduate,Rural,1
43,57573,3,12295,48,736,4,0.53,Single,Undergraduate,Urban,0
49,20806,7,46160,60,410,4,0.2,Married,Postgraduate,Urban,1
31,144343,14,16390,36,428,0,0.4,Married,Graduate,Semiurban,0
38,76638,7,46216,24,625,2,0.18,Single,Undergraduate,Semiurban,0
32,148301,5,25131,60,307,4,0.6,Single,Undergraduate,Semiurban,0
29,146295,5,34218,36,328,0,0.46,Married,Graduate,Urban,0
30,126506,2,15433,36,411,1,0.72,Married,Undergraduate,Rural,1
37,49757,6,20038,36,430,4,0.28,Married,Postgraduate,Semiurban,0
58,54636,15,33182,36,487,4,0.23,Single,Undergraduate,Semiurban,0
27,100097,10,16528,48,774,0,0.43,Married,Postgraduate,Urban,0
33,68280,7,26281,36,663,2,0.84,Married,Postgraduate,Rural,0
29,44262,5,13605,48,503,1,0.67,Married,Graduate,Urban,0
47,100435,1,39782,48,511,4,0.44,Married,Undergraduate,Semiurban,0
22,82211,13,6381,36,575,2,0.51,Married,Postgraduate,Urban,0
25,74842,18,6098,24,372,1,0.17,Single,Postgraduate,Semiurban,0
49,148583,13,24810,36,542,3,0.89,Married,Undergraduate,Rural,0
57,76979,18,29322,36,401,3,0.63,Single,Postgraduate,Urban,1
58,134524,5,46869,36,470,1,0.33,Married,Undergraduate,Semiurban,1
39,101470,13,37955,24,487,0,0.57,Married,Graduate,Semiurban,0
28,58197,4,49716,12,740,1,0.19,Married,Postgraduate,Semiurban,0
21,61844,17,15207,12,385,1,0.87,Single,Postgraduate,Semiurban,1
42,84754,3,26793,48,775,0,0.24,Single,Undergraduate,Urban,0
37,121868,17,7092,48,351,0,0.62,Single,Undergraduate,Semiurban,1
27,54157,11,33220,24,410,2,0.3,Married,Undergraduate,Urban,0
45,97129,4,23514,60,342,2,0.67,Married,Undergraduate,Semiurban,1
24,60042,2,43010,12,510,0,0.72,Single,Postgraduate,Urban,1
56,81665,16,13549,48,499,3,0.64,Single,Graduate,Urban,1
26,135512,18,27031,12,325,3,0.59,Married,Graduate,Semiurban,0
51,136953,8,10185,24,598,1,0.81,Single,Graduate,Semiurban,0
39,102856,3,20271,24,376,4,0.16,Married,Graduate,Semiurban,0
59,47376,9,10776,60,436,1,0.36,Single,Undergraduate,Semiurban,0
47,129049,6,17449,60,319,1,0.3,Single,Postgraduate,Rural,0
30,75554,10,29297,24,739,4,0.89,Single,Postgraduate,Semiurban,0
46,34199,10,45591,48,510,0,0.41,Married,Postgraduate,Semiurban,1
39,138533,13,20717,12,850,3,0.69,Married,Undergraduate,Semiurban,0
59,101412,17,45123,36,734,1,0.65,Single,Postgraduate,Urban,1
23,70948,9,44233,60,506,4,0.27,Married,Undergraduate,Semiurban,0
33,93781,17,15350,36,738,2,0.29,Married,Postgraduate,Urban,0
48,92750,9,35622,48,341,1,0.33,Married,Graduate,Urban,0
40,86262,9,40323,60,710,3,0.43,Married,Undergraduate,Urban,0
48,137424,1,7951,36,822,0,0.29,Single,Postgraduate,Urban,0
28,66600,2,22622,48,726,1,0.12,Married,Graduate,Rural,0
59,96898,16,9727,12,574,1,0.8,Married,Graduate,Semiurban,0
21,82483,1,43454,48,747,4,0.87,Single,Graduate,Urban,1
23,38297,10,41469,60,668,2,0.37,Married,Undergraduate,Semiurban,1
33,50448,18,40548,24,519,2,0.37,Married,Undergraduate,Urban,0
48,46172,8,28782,12,876,0,0.11,Married,Postgraduate,Rural,0
45,62874,11,33454,36,531,3,0.64,Single,Graduate,Urban,0
53,27657,2,7368,60,627,0,0.76,Single,Postgraduate,Semiurban,1
58,104386,8,20592,24,742,1,0.22,Married,Postgraduate,Semiurban,0
26,145617,8,27173,48,351,1,0.23,Married,Graduate,Rural,0
52,45425,17,38204,24,675,2,0.73,Single,Postgraduate,Semiurban,0
41,46685,15,40596,60,562,3,0.59,Single,Undergraduate,Semiurban,0
36,142000,17,39324,60,566,4,0.14,Single,Postgraduate,Urban,0
41,132855,13,28864,24,658,3,0.6,Married,Graduate,Semiurban,0
31,44578,19,35750,48,616,1,0.35,Married,Undergraduate,Urban,0
57,48831,5,15576,24,623,4,0.39,Single,Undergraduate,Rural,0
56,27906,12,21566,60,862,3,0.72,Married,Postgraduate,Semiurban,1
55,81413,1,12190,60,720,3,0.75,Married,Postgraduate,Urban,0
39,74028,5,28071,36,345,4,0.42,Married,Undergraduate,Semiurban,0
40,27287,8,43333,36,899,1,0.86,Married,Postgraduate,Urban,1
38,53660,13,20369,12,568,3,0.43,Married,Graduate,Rural,0
34,95758,8,29035,60,680,4,0.72,Married,Postgraduate,Urban,0
35,80504,11,6589,36,417,1,0.49,Married,Postgraduate,Semiurban,0
51,79720,1,30235,24,865,4,0.82,Single,Undergraduate,Urban,0
21,122979,13,5159,48,415,4,0.83,Single,Postgraduate,Semiurban,1
23,54701,19,17145,24,559,3,0.17,Single,Postgraduate,Rural,0
36,103300,3,20373,48,374,1,0.85,Single,Postgraduate,Urban,1
43,130177,17,36921,36,779,3,0.76,Single,Graduate,Semiurban,0
31,37674,5,44323,12,604,0,0.73,Single,Postgraduate,Semiurban,1
32,103560,8,21237,24,306,0,0.26,Single,Graduate,Semiurban,0
30,131543,14,46971,24,665,1,0.74,Single,Graduate,Urban,1
52,43874,4,13244,24,822,4,0.78,Single,Graduate,Urban,0
36,63642,11,19743,48,647,3,0.33,Married,Graduate,Urban,0
28,143867,15,36566,36,737,3,0.86,Married,Undergraduate,Rural,0
58,117820,19,23691,24,514,1,0.14,Single,Graduate,Semiurban,0
32,85160,7,38996,24,728,1,0.22,Married,Postgraduate,Semiurban,0
44,37602,19,10590,12,797,0,0.53,Married,Graduate,Rural,0
48,123320,19,10585,12,839,2,0.56,Single,Postgraduate,Rural,0
28,108801,11,14227,36,666,1,0.62,Single,Graduate,Urban,0
48,45931,5,33278,36,612,2,0.11,Single,Undergraduate,Urban,0
56,114377,5,43814,60,837,1,0.87,Married,Graduate,Urban,1
46,49192,8,17237,12,353,4,0.14,Married,Graduate,Urban,0
28,66542,10,20649,60,840,4,0.21,Single,Undergraduate,Urban,0
48,147015,6,42713,48,766,0,0.11,Married,Graduate,Urban,0
48,62520,15,12927,60,463,0,0.55,Married,Postgraduate,Rural,0
57,84772,16,12016,24,633,2,0.85,Married,Graduate,Rural,0
56,78762,17,19027,60,846,1,0.63,Single,Graduate,Rural,0
47,70106,8,29142,36,647,3,0.76,Married,Graduate,Semiurban,0
37,101121,8,28545,48,572,0,0.11,Married,Undergraduate,Semiurban,0
29,45559,9,36897,24,713,3,0.53,Married,Graduate,Urban,0
53,125595,2,8167,60,799,3,0.47,Married,Graduate,Rural,0
40,53742,15,49757,48,392,1,0.5,Married,Postgraduate,Semiurban,1
33,89669,18,31917,48,378,2,0.16,Married,Graduate,Semiurban,0
48,100199,3,27736,24,516,1,0.65,Married,Graduate,Rural,0
49,41754,17,32990,60,657,0,0.5,Single,Graduate,Semiurban,0
33,23972,4,19087,48,806,3,0.71,Single,Graduate,Semiurban,1
55,90831,4,27440,48,858,1,0.49,Married,Postgraduate,Rural,0
26,132217,14,40205,12,480,1,0.22,Single,Postgraduate,Semiurban,1
38,61873,9,20275,48,875,1,0.62,Married,Undergraduate,Rural,0
25,114661,9,10276,12,545,0,0.24,Married,Graduate,Semiurban,0
45,126532,18,46627,60,543,2,0.8,Married,Undergraduate,Rural,1
22,146267,10,45586,60,805,1,0.59,Single,Undergraduate,Semiurban,0
30,29903,4,42496,60,721,0,0.23,Married,Graduate,Semiurban,1
50,23020,12,24008,36,619,3,0.87,Married,Postgraduate,Rural,1
25,61755,8,10738,60,386,4,0.51,Single,Postgraduate,Semiurban,0
53,105956,2,37402,48,516,0,0.16,Single,Graduate,Rural,0
21,106988,13,10793,24,789,4,0.6,Married,Graduate,Rural,0
38,65648,16,42291,12,818,1,0.3,Single,Postgraduate,Semiurban,0
52,123537,2,10571,36,577,1,0.74,Single,Graduate,Urban,0
31,145991,11,36331,60,468,0,0.75,Married,Graduate,Semiurban,1
41,29516,10,21209,60,629,4,0.88,Married,Graduate,Urban,1
46,132863,15,30394,24,740,1,0.5,Married,Postgraduate,Urban,0
45,135005,17,48148,24,690,3,0.46,Single,Undergraduate,Semiurban,0
42,22396,8,30682,36,795,2,0.7,Single,Undergraduate,Urban,1
47,104082,18,7224,12,680,2,0.21,Single,Graduate,Rural,0
33,39129,9,46157,60,605,1,0.54,Married,Postgraduate,Rural,1
53,148322,8,49452,36,812,4,0.54,Single,Graduate,Urban,0
54,21591,14,48408,48,487,1,0.17,Single,Postgraduate,Rural,1
55,31303,18,37441,48,815,4,0.43,Married,Graduate,Semiurban,0
21,50561,12,46430,36,726,3,0.78,Married,Postgraduate,Rural,1
41,91719,19,44129,60,801,4,0.78,Married,Postgraduate,Urban,1
26,138618,14,39716,36,559,1,0.18,Single,Undergraduate,Semiurban,0
48,112108,17,49859,60,812,3,0.17,Married,Graduate,Rural,0
37,148748,3,31586,24,370,0,0.31,Single,Undergraduate,Semiurban,0
25,119616,7,49760,36,777,2,0.8,Single,Undergraduate,Urban,1
51,144165,17,28478,60,477,1,0.2,Married,Postgraduate,Rural,0
25,106231,12,11318,36,756,1,0.68,Married,Graduate,Semiurban,0
58,27314,9,33694,36,488,1,0.18,Married,Postgraduate,Semiurban,1
23,137071,15,25180,60,590,3,0.6,Married,Postgraduate,Rural,0
43,39623,18,17180,60,819,0,0.38,Married,Postgraduate,Semiurban,0
57,87675,13,38002,12,591,4,0.73,Single,Graduate,Semiurban,0
57,132992,8,20372,36,582,0,0.29,Single,Graduate,Urban,0
30,116826,14,34796,48,843,3,0.61,Single,Postgraduate,Urban,0
30,85082,8,29427,36,676,1,0.29,Married,Graduate,Urban,0
39,149839,14,38290,36,455,2,0.67,Single,Postgraduate,Urban,1
37,103624,7,33099,60,807,1,0.8,Married,Graduate,Urban,0
41,125228,12,14821,36,712,4,0.2,Married,Graduate,Urban,0
34,53130,11,10832,36,827,2,0.79,Single,Undergraduate,Rural,0
29,71756,11,17820,48,654,1,0.57,Single,Postgraduate,Urban,0
21,117624,13,21211,60,858,2,0.2,Married,Undergraduate,Semiurban,0
33,46292,18,44890,36,486,0,0.44,Single,Undergraduate,Rural,1
24,131785,2,10842,24,330,3,0.23,Married,Postgraduate,Semiurban,0
21,147331,15,6316,12,559,1,0.66,Single,Postgraduate,Urban,0
52,106206,18,22508,48,720,4,0.71,Single,Graduate,Urban,0
54,89274,15,27005,36,828,0,0.18,Single,Postgraduate,Semiurban,0
48,22469,19,20206,24,850,1,0.5,Single,Undergraduate,Semiurban,0
51,73947,12,23971,36,603,0,0.75,Single,Undergraduate,Semiurban,0
28,42534,13,30599,36,338,4,0.85,Married,Postgraduate,Rural,1
59,83620,11,27056,60,788,1,0.51,Single,Undergraduate,Urban,0
46,68874,5,6378,60,841,4,0.86,Single,Graduate,Semiurban,0
54,69708,1,6519,60,577,2,0.53,Single,Undergraduate,Urban,0
23,94553,3,27161,24,502,4,0.42,Married,Graduate,Semiurban,0
32,88344,19,45703,36,365,2,0.78,Married,Undergraduate,Urban,1
21,69138,7,43861,12,407,1,0.49,Married,Graduate,Rural,1
25,74302,12,10355,48,567,2,0.48,Married,Graduate,Urban,0
50,67638,15,14083,60,521,1,0.49,Married,Postgraduate,Semiurban,0
50,98249,5,43342,60,829,1,0.78,Single,Graduate,Urban,1
37,125865,15,25456,36,389,3,0.77,Single,Postgraduate,Rural,1
43,22719,8,18324,36,554,1,0.42,Single,Undergraduate,Rural,0
35,42890,10,7257,24,754,2,0.37,Married,Undergraduate,Urban,0
57,97236,16,32364,24,552,3,0.49,Married,Undergraduate,Semiurban,0
41,56509,8,29972,60,556,3,0.56,Single,Graduate,Rural,0
34,62534,1,31654,36,682,1,0.29,Married,Undergraduate,Rural,0
22,122302,12,20233,12,741,4,0.74,Married,Undergraduate,Urban,0
31,112241,5,20887,48,898,4,0.49,Married,Postgraduate,Rural,0
59,38787,3,34320,36,389,3,0.37,Single,Postgraduate,Rural,1
58,146209,1,25808,36,689,1,0.19,Single,Undergraduate,Semiurban,0
54,68845,4,35154,24,881,4,0.29,Married,Undergraduate,Semiurban,0
58,77932,8,39773,48,343,1,0.86,Married,Graduate,Semiurban,1
54,112124,3,32747,60,897,1,0.34,Married,Graduate,Urban,0
38,111659,10,15860,36,318,3,0.24,Married,Undergraduate,Rural,0
50,53062,2,47838,60,400,3,0.47,Single,Postgraduate,Urban,1
35,95713,11,47156,36,656,0,0.35,Married,Undergraduate,Rural,0
47,107263,10,23156,60,841,4,0.13,Single,Graduate,Rural,0
54,115756,14,25360,48,332,4,0.36,Single,Postgraduate,Rural,0
58,80461,7,23135,24,528,4,0.54,Single,Postgraduate,Semiurban,0
53,95418,2,30351,48,823,2,0.54,Married,Graduate,Urban,0
44,86672,9,35499,12,454,1,0.39,Single,Undergraduate,Urban,0
35,148232,16,28554,24,722,3,0.46,Single,Undergraduate,Rural,0
50,54832,13,24604,48,545,4,0.87,Married,Undergraduate,Urban,0
37,147335,9,21923,12,704,0,0.4,Married,Graduate,Semiurban,0
25,51966,4,13547,36,840,4,0.31,Married,Postgraduate,Urban,0
49,92545,10,49283,36,460,1,0.29,Single,Graduate,Rural,1
24,32987,12,38002,60,416,1,0.47,Married,Undergraduate,Semiurban,1
30,57311,17,19562,24,570,3,0.71,Single,Graduate,Semiurban,0
37,51575,14,12480,36,786,2,0.26,Single,Postgraduate,Rural,0
30,83852,14,31672,24,471,3,0.67,Married,Graduate,Urban,1
37,147650,2,9213,36,573,4,0.12,Single,Undergraduate,Rural,0
40,21007,11,15293,60,558,0,0.44,Single,Postgraduate,Urban,0
44,90981,16,39441,48,434,3,0.72,Single,Graduate,Urban,1
25,96242,19,7100,60,721,2,0.37,Single,Graduate,Semiurban,0
54,67517,6,49617,12,720,3,0.55,Married,Postgraduate,Rural,0
26,130022,19,33172,36,485,1,0.26,Single,Postgraduate,Semiurban,0
22,49257,5,25132,12,663,4,0.69,Married,Undergraduate,Rural,0
33,107272,4,23199,12,677,4,0.14,Single,Postgraduate,Rural,0
31,62207,15,41609,24,822,4,0.78,Single,Undergraduate,Semiurban,1
43,33281,4,47965,36,879,4,0.26,Married,Graduate,Rural,1
36,81246,10,13016,12,495,4,0.8,Single,Undergraduate,Rural,1
51,21435,3,44779,48,397,4,0.38,Single,Graduate,Urban,1
31,118875,5,42261,12,321,0,0.68,Single,Postgraduate,Rural,1
36,120686,6,36881,48,749,2,0.36,Single,Graduate,Rural,0
28,111357,8,22058,24,471,4,0.82,Single,Postgraduate,Semiurban,1
24,46660,7,29472,12,682,2,0.2,Single,Graduate,Semiurban,0
24,25084,10,46346,60,433,4,0.24,Married,Graduate,Rural,1
45,102197,6,39926,24,725,3,0.49,Married,Graduate,Urban,0
23,33507,14,39832,48,324,4,0.17,Married,Graduate,Urban,1
52,92595,4,41021,24,802,1,0.26,Single,Undergraduate,Semiurban,0
23,103807,13,29087,12,484,0,0.86,Single,Graduate,Rural,1
47,65539,17,17828,36,384,3,0.88,Single,Undergraduate,Rural,1
49,135953,7,36128,36,866,3,0.4,Married,Postgraduate,Urban,0
52,27491,4,6401,48,443,1,0.84,Single,Postgraduate,Urban,1
39,147706,14,24643,48,711,4,0.54,Married,Undergraduate,Urban,0
41,132831,3,20193,36,523,0,0.32,Single,Postgraduate,Semiurban,0
25,70192,5,31853,48,519,3,0.66,Single,Postgraduate,Rural,0
38,100395,16,49864,24,478,0,0.63,Single,Graduate,Semiurban,1
48,143797,4,25307,60,732,3,0.89,Married,Graduate,Rural,0
42,83888,2,41982,60,564,4,0.31,Single,Graduate,Semiurban,0
41,93609,18,24611,24,728,3,0.64,Married,Undergraduate,Rural,0
26,29077,19,48791,60,715,3,0.14,Single,Undergraduate,Urban,1
21,137440,19,16950,12,752,2,0.19,Single,Postgraduate,Urban,0
25,142901,17,15704,24,496,4,0.1,Married,Graduate,Urban,0
32,40953,14,48111,48,853,1,0.9,Single,Undergraduate,Semiurban,1
46,96919,19,16867,24,352,1,0.74,Single,Undergraduate,Urban,1
54,134682,13,7745,36,779,4,0.73,Single,Graduate,Rural,0
34,141041,12,8866,48,742,1,0.51,Single,Undergraduate,Semiurban,0
46,87889,6,37245,36,629,4,0.34,Married,Graduate,Rural,0
47,43821,4,49724,48,550,1,0.22,Married,Postgraduate,Semiurban,0
29,57567,19,10818,60,422,2,0.33,Single,Postgraduate,Rural,0
46,135374,16,35116,24,686,1,0.4,Single,Postgraduate,Rural,0
42,44860,13,20493,12,638,3,0.71,Married,Graduate,Semiurban,0
50,41195,4,33038,48,647,4,0.53,Single,Undergraduate,Semiurban,0
37,97475,17,25447,48,328,0,0.16,Married,Postgraduate,Urban,0
46,110874,1,35431,36,334,0,0.11,Single,Postgraduate,Urban,0
56,107266,18,22908,60,817,4,0.18,Married,Postgraduate,Rural,0
21,41427,17,34336,36,695,2,0.43,Married,Undergraduate,Rural,0
28,120732,15,45992,36,593,1,0.85,Married,Undergraduate,Rural,1
55,47083,11,9025,60,888,2,0.61,Married,Graduate,Semiurban,0
35,107046,13,25093,12,648,0,0.74,Single,Postgraduate,Semiurban,0
42,77372,1,11155,36,446,4,0.47,Single,Undergraduate,Urban,0
34,143786,17,38487,36,366,4,0.39,Married,Graduate,Rural,0
46,64064,6,25963,48,819,2,0.19,Married,Postgraduate,Urban,0
48,27813,4,25936,60,421,2,0.8,Married,Undergraduate,Semiurban,1
43,51598,16,9426,24,639,1,0.73,Married,Undergraduate,Semiurban,0
34,132718,15,28303,12,474,3,0.23,Single,Graduate,Semiurban,0
44,146879,15,32606,12,896,3,0.51,Married,Postgraduate,Urban,0
22,113106,6,33151,60,750,1,0.49,Married,Postgraduate,Semiurban,0
46,47082,15,18767,48,856,3,0.6,Married,Undergraduate,Rural,0
34,49241,14,16308,48,435,0,0.86,Married,Postgraduate,Urban,1
27,116214,11,49245,60,315,3,0.56,Married,Graduate,Semiurban,1
23,64569,7,29770,48,632,1,0.53,Married,Undergraduate,Urban,0
43,31745,9,33572,12,494,3,0.14,Married,Undergraduate,Urban,1
38,46029,16,46448,12,795,4,0.15,Single,Graduate,Semiurban,0
58,33025,5,7204,24,308,2,0.25,Married,Undergraduate,Semiurban,1
55,121660,10,32233,60,633,0,0.13,Married,Postgraduate,Urban,0
35,143395,18,26729,36,632,4,0.69,Married,Postgraduate,Urban,0
45,34288,3,36131,36,626,4,0.68,Single,Undergraduate,Semiurban,1
57,109186,13,38870,24,314,1,0.21,Single,Graduate,Rural,0
48,26540,11,43011,24,525,2,0.77,Single,Graduate,Urban,1
30,117768,17,44382,48,724,2,0.22,Married,Postgraduate,Urban,0
59,101958,13,46475,24,707,0,0.34,Married,Graduate,Rural,0
37,88878,6,26607,24,412,1,0.3,Married,Undergraduate,Semiurban,0
59,61846,17,29968,36,727,0,0.4,Single,Undergraduate,Semiurban,0
42,121148,13,38398,48,300,3,0.3,Married,Postgraduate,Rural,0
46,95932,19,16908,24,565,4,0.49,Single,Postgraduate,Semiurban,0
45,37482,19,31423,24,790,0,0.43,Single,Postgraduate,Semiurban,0
37,43411,10,48615,48,507,4,0.89,Single,Graduate,Urban,1
